ds,thr,seed,model,arm,cov_ind,cov_big,width_factor,ooe_bias,ooe_cov,ooe_unsafe
STEEL,0.7,2,RF,residual-target,0.9698492462311558,0.9345549738219895,1.6916677733184455,0.9719299127982692,0.13685769066897108,0.6099476439790575
STEEL,0.7,2,RF,physics-feature,0.9447236180904522,0.6413612565445026,1.705721878470273,1.3156562051256129,0.44017653989301564,0.32722513089005234
STEEL,0.75,0,HistGB,baseline,0.9360730593607306,0.35973597359735976,1.7616781126711853,1.8324856604694657,0.5222557492839379,0.15841584158415842
STEEL,0.75,0,HistGB,residual-target,0.9315068493150684,0.8415841584158416,1.5584191327525676,0.9668055726693925,0.15724774002590253,0.6072607260726073
STEEL,0.75,0,HistGB,physics-feature,0.9360730593607306,0.6039603960396039,1.6545641090994108,1.333914064985045,0.4809572740027963,0.3432343234323432
STEEL,0.75,0,RF,baseline,0.9360730593607306,0.37623762376237624,2.0421193504523525,2.1658833783781084,0.5927857085926073,0.1188118811881188
STEEL,0.75,0,RF,residual-target,0.9178082191780822,0.8778877887788779,1.5794004584293093,0.9572420937755785,0.14297597354181538,0.6633663366336634
STEEL,0.75,0,RF,physics-feature,0.91324200913242,0.5742574257425742,1.6294463939447672,1.3342172706998452,0.4144513190215557,0.30033003300330036
STEEL,0.75,1,HistGB,baseline,0.8904109589041096,0.3069306930693069,1.6683226071541946,1.932588244977044,0.5348979929507018,0.12211221122112212
STEEL,0.75,1,HistGB,residual-target,0.8995433789954338,0.8712871287128713,1.575990847712501,0.9648507553026944,0.15270726465326523,0.6072607260726073
STEEL,0.75,1,HistGB,physics-feature,0.8995433789954338,0.5511551155115512,1.6325606221543456,1.3717551273355484,0.5209028962858964,0.4158415841584158
STEEL,0.75,1,RF,baseline,0.9178082191780822,0.3432343234323432,2.184284635619499,2.300566242257427,0.5743370743369209,0.0924092409240924
STEEL,0.75,1,RF,residual-target,0.8995433789954338,0.8778877887788779,1.560791701681997,0.9755181017490573,0.14328224196693926,0.5907590759075908
STEEL,0.75,1,RF,physics-feature,0.91324200913242,0.5907590759075908,1.8122834722946917,1.4114899125290659,0.45124872638084196,0.28052805280528054
STEEL,0.75,2,HistGB,baseline,0.8858447488584474,0.33993399339933994,1.6586560110472708,1.828236946250271,0.5131242209222652,0.132013201320132
STEEL,0.75,2,HistGB,residual-target,0.9315068493150684,0.8184818481848185,1.5297491038028084,0.972623472819998,0.15449904903827694,0.5973597359735974
STEEL,0.75,2,HistGB,physics-feature,0.9223744292237442,0.5379537953795379,1.6101743117435932,1.4424326044023252,0.5265533088054839,0.37293729372937295
STEEL,0.75,2,RF,baseline,0.9223744292237442,0.33993399339933994,2.0307941663822002,2.276129886010077,0.6092991885919996,0.10891089108910891
STEEL,0.75,2,RF,residual-target,0.9315068493150684,0.8745874587458746,1.5424652014037588,0.9803381550183768,0.13938324540042105,0.6105610561056105
STEEL,0.75,2,RF,physics-feature,0.9269406392694064,0.5412541254125413,1.6316184667679525,1.435801821023653,0.4721357310139687,0.297029702970297
STEEL,0.8,0,HistGB,baseline,0.9106382978723404,0.3206751054852321,1.7434233720335734,2.013474062913897,0.5329246776253849,0.08860759493670886
STEEL,0.8,0,HistGB,residual-target,0.9361702127659575,0.8438818565400844,1.5717676654360533,0.9879601245843987,0.15789362455706027,0.5443037974683544
STEEL,0.8,0,HistGB,physics-feature,0.9234042553191489,0.5485232067510548,1.7080436524646565,1.3586832191332598,0.39193495256734584,0.25316455696202533
STEEL,0.8,0,RF,baseline,0.9234042553191489,0.26582278481012656,1.9923083624797677,2.317411605255347,0.5295516545218841,0.029535864978902954
STEEL,0.8,0,RF,residual-target,0.8978723404255319,0.8481012658227848,1.5683602132912964,0.9616334348182917,0.1479542571490315,0.6455696202531646
STEEL,0.8,0,RF,physics-feature,0.9276595744680851,0.5654008438818565,1.7375057169259156,1.3479356833275133,0.3752517119946715,0.25738396624472576
STEEL,0.8,1,HistGB,baseline,0.9106382978723404,0.20675105485232068,1.6913534871234908,2.1816047307945547,0.5186248583015376,0.03375527426160337
STEEL,0.8,1,HistGB,residual-target,0.902127659574468,0.8270042194092827,1.5039702994978945,0.9916904477031498,0.15231148423296598,0.540084388185654
STEEL,0.8,1,HistGB,physics-feature,0.9063829787234042,0.6075949367088608,1.5902624649968127,1.268498028923823,0.3673164786972152,0.31223628691983124
STEEL,0.8,1,RF,baseline,0.8893617021276595,0.20253164556962025,2.0732196144355783,2.58026150663857,0.5239022164123485,0.008438818565400843
STEEL,0.8,1,RF,residual-target,0.8638297872340426,0.8059071729957806,1.4823324396225626,0.9872731890996407,0.1493288189444309,0.5527426160337553
STEEL,0.8,1,RF,physics-feature,0.8723404255319149,0.45569620253164556,1.6395541950220398,1.4547093753344966,0.3762920174285214,0.16033755274261605
STEEL,0.8,2,HistGB,baseline,0.9106382978723404,0.2616033755274262,1.6097703985264493,1.9473110490706773,0.4970343439954225,0.05907172995780591
STEEL,0.8,2,HistGB,residual-target,0.9361702127659575,0.8059071729957806,1.5307176922381087,0.9850643074437841,0.16502564139940645,0.5991561181434599
STEEL,0.8,2,HistGB,physics-feature,0.9446808510638298,0.4767932489451477,1.661094971889653,1.516184958041222,0.4790518570777794,0.2742616033755274
STEEL,0.8,2,RF,baseline,0.902127659574468,0.21940928270042195,1.898442681825424,2.4260775601254285,0.554443099618571,0.0379746835443038
STEEL,0.8,2,RF,residual-target,0.9404255319148936,0.8607594936708861,1.5603564973974475,0.9788514985062357,0.15018112217009838,0.5949367088607594
STEEL,0.8,2,RF,physics-feature,0.9191489361702128,0.45147679324894513,1.6005667774789274,1.4736092093176343,0.43572084352204266,0.21940928270042195
FRP,0.7,0,HistGB,baseline,1.0,0.654320987654321,4.2416991215913535,1.9751994239971122,0.5776750891575352,0.09876543209876543
FRP,0.7,0,HistGB,residual-target,0.9111111111111111,0.8765432098765432,2.205570737183452,0.9698897813183057,0.2703978873074486,0.6296296296296297
FRP,0.7,0,HistGB,physics-feature,0.9333333333333333,0.6172839506172839,2.563648184093321,1.5957439367372248,0.429491590707321,0.18518518518518517
